14.12 16:18:07:790     !! savingRecord, dont ResetWaitUrgentCode
28.01 16:12:06:088     !! savingRecord, dont ResetWaitUrgentCode
28.01 16:12:25:415     !! savingRecord, dont ResetWaitUrgentCode
28.01 16:13:02:958     !! savingRecord, dont ResetWaitUrgentCode
28.01 16:13:13:417     !! savingRecord, dont ResetWaitUrgentCode
28.01 16:13:19:541     !! savingRecord, dont ResetWaitUrgentCode
28.01 16:14:01:976     !! savingRecord, dont ResetWaitUrgentCode
28.01 16:14:26:508     !! savingRecord, dont ResetWaitUrgentCode
28.01 16:15:06:724     !! savingRecord, dont ResetWaitUrgentCode
28.01 16:15:14:410     !! savingRecord, dont ResetWaitUrgentCode
28.01 16:15:27:244     !! savingRecord, dont ResetWaitUrgentCode
28.01 16:15:36:434     !! savingRecord, dont ResetWaitUrgentCode
28.01 16:16:03:482     !! savingRecord, dont ResetWaitUrgentCode
28.01 16:16:14:411     !! savingRecord, dont ResetWaitUrgentCode
28.01 16:16:20:151     !! savingRecord, dont ResetWaitUrgentCode
28.01 16:17:14:227     !! savingRecord, dont ResetWaitUrgentCode
28.01 16:17:26:038     !! savingRecord, dont ResetWaitUrgentCode
28.01 16:18:16:741     !! savingRecord, dont ResetWaitUrgentCode
28.01 16:18:23:244     !! savingRecord, dont ResetWaitUrgentCode
28.01 16:19:23:691     !! savingRecord, dont ResetWaitUrgentCode
28.01 16:19:43:703     !! savingRecord, dont ResetWaitUrgentCode
28.01 16:20:16:233     !! savingRecord, dont ResetWaitUrgentCode
28.01 16:20:27:065     !! savingRecord, dont ResetWaitUrgentCode
28.01 16:21:09:560     !! savingRecord, dont ResetWaitUrgentCode
28.01 16:21:23:826     !! savingRecord, dont ResetWaitUrgentCode
28.01 16:22:03:409     !! savingRecord, dont ResetWaitUrgentCode
28.01 16:22:18:492     !! savingRecord, dont ResetWaitUrgentCode
28.01 16:23:01:142     !! savingRecord, dont ResetWaitUrgentCode
28.01 16:23:15:651     !! savingRecord, dont ResetWaitUrgentCode
28.01 16:24:01:099     !! savingRecord, dont ResetWaitUrgentCode
28.01 16:24:12:779     !! savingRecord, dont ResetWaitUrgentCode
28.01 16:24:30:776     !! savingRecord, dont ResetWaitUrgentCode
28.01 16:24:59:772     !! savingRecord, dont ResetWaitUrgentCode
28.01 16:25:04:225     !! savingRecord, dont ResetWaitUrgentCode
28.01 16:25:10:065     !! savingRecord, dont ResetWaitUrgentCode
28.01 16:25:24:916     !! savingRecord, dont ResetWaitUrgentCode
